Latitude_dd,Longitude_dd,normalized_pressure,phaseNb,Diagnostic
-20.968441667,-68.704348333,2623.497465252286,5.0,2. PLEIN (Normal)
-20.96882,-68.703285,2623.9834466206985,5.0,2. PLEIN (Normal)
-20.969371667,-68.702493333,2624.9988997043047,5.0,2. PLEIN (Normal)
-20.970638333,-68.700983333,2625.6490944962916,5.0,2. PLEIN (Normal)
-20.971991667,-68.699448333,2625.852421470781,5.0,2. PLEIN (Normal)
-20.973303333,-68.698633333,2626.0561641161266,5.0,2. PLEIN (Normal)
-20.974111667,-68.698341667,2626.3014572844963,5.0,2. PLEIN (Normal)
-20.974721667,-68.698933333,2626.5058845578105,5.0,2. PLEIN (Normal)
-20.974741667,-68.698245,2625.660341983797,5.0,2. PLEIN (Normal)
-20.974091667,-68.697866667,2624.642036290609,5.0,2. PLEIN (Normal)
-20.973216667,-68.698011667,2624.2760689194256,5.0,2. PLEIN (Normal)
-20.972486667,-68.698188333,2624.6828695779745,5.0,2. PLEIN (Normal)
-20.971685,-68.698355,2624.985370104096,5.0,2. PLEIN (Normal)
-20.971051667,-68.699025,2623.5547214986227,5.0,2. PLEIN (Normal)
-20.97042,-68.699586667,2622.132231404959,5.0,2. PLEIN (Normal)
-20.969801667,-68.700165,2622.449557438701,5.0,2. PLEIN (Normal)
-20.969151667,-68.700725,2623.6721111088073,5.0,2. PLEIN (Normal)
-20.968503333,-68.701346667,2624.7884330122097,5.0,2. PLEIN (Normal)
-20.967896667,-68.701985,2625.6043816323536,5.0,2. PLEIN (Normal)
-20.967175,-68.702233333,2626.418374166626,5.0,2. PLEIN (Normal)
-20.96777,-68.701238333,2626.1842306877274,5.0,2. PLEIN (Normal)
-20.968381667,-68.700445,2625.776500889432,5.0,2. PLEIN (Normal)
-20.969786667,-68.698868333,2625.462524655354,5.0,2. PLEIN (Normal)
-20.97055,-68.697236667,2625.259295483072,5.0,2. PLEIN (Normal)
-20.971348333,-68.696721667,2625.1148711407563,5.0,2. PLEIN (Normal)
-20.97206,-68.696358333,2625.9303307373466,5.0,2. PLEIN (Normal)
-20.972768333,-68.696053333,2626.746670574665,5.0,2. PLEIN (Normal)
