Latitude_dd,Longitude_dd,Speed_mps,acceleration,jerk,normalized_pressure,phaseNb,RatioPayload,Etat_Charge,Alerte_Conduite
-20.974491667,-68.711391667,5.60699987411499,0.05127693084686025,-0.0019718150905985426,2604.180481630288,2.0,0.0,Vide,Souple
-20.972755,-68.711576667,10.392000198364258,0.02064968678405455,-0.09385811647348304,2604.75137946345,2.0,0.0,Vide,Souple
-20.970843333,-68.711673333,6.172999858856201,-0.19354842058188854,0.006510362015012571,2605.3622735485133,2.0,0.0,Vide,Souple
-20.970896667,-68.711926667,1.902999997138977,0.07263923024856436,0.0846500019570213,2607.0030112147406,2.0,0.0,Vide,Souple
-20.970923333,-68.711988333,0.0,0.0,0.0,2612.392556630304,2.0,0.0,Vide,Souple
-20.970923333,-68.711988333,0.0,0.0,0.0,2617.790297350197,2.0,0.0,Vide,Souple
-20.970923333,-68.711988333,0.0,0.0,0.0,2621.336315651885,2.0,0.0,Vide,Souple
-20.970923333,-68.711988333,0.0,0.0,0.0,2624.461482476395,2.0,0.0,Vide,Souple
-20.970923333,-68.711988333,0.4120000004768371,0.08278079176908357,0.016632668635886652,2627.5525891785833,2.0,0.0,Vide,Souple
-20.971215,-68.71131,4.321000099182129,-0.020653636942287213,-0.0020434832876291414,2630.600322124066,3.0,1.0,Plein,Souple
-20.972401667,-68.711376667,6.790999889373779,0.11365461497458257,-0.024668834441236166,2633.588598464765,3.0,1.0,Plein,Souple
-20.973995,-68.711295,7.35699987411499,-0.061391287661356084,-0.03264534890304764,2632.2919924846915,3.0,1.0,Plein,Souple
-20.975255,-68.710611667,5.298999786376953,-0.12295737681021496,-0.008160816132865968,2630.9975533921497,3.0,1.0,Plein,Souple
-20.975911667,-68.710565,5.298999786376953,0.21456924959619567,0.05486676038455273,2630.7171928557377,3.0,1.0,Plein,Souple
-20.975593333,-68.711571667,3.0350000858306885,-0.07157055609214219,0.010462343947879725,2631.0705767781337,3.0,1.0,Plein,Souple
-20.975321667,-68.712305,4.116000175476074,0.08278082769713943,0.004138090312795289,2630.9828139855003,3.0,1.0,Plein,Souple
-20.974475,-68.712666667,3.086999893188477,0.08221910357471807,0.02671877282362784,2628.941175906605,3.0,1.0,Plein,Souple
-20.973643333,-68.71279,3.6010000705718994,-0.07252213861081794,-0.012509069115128514,2627.2747002477427,3.0,1.0,Plein,Souple
-20.972976667,-68.713001667,2.726999998092652,-0.010271927318683056,0.00823414433655406,2628.089186069403,3.0,1.0,Plein,Souple
