Latitude,Longitude,Cluster_ID,Trajet_Index,Vitesse_kmh,Charge_Norm,Description
-20.97434,-68.698906667,Cluster 1 (BLEU),28,31.7,2602.58,Trajet 28 | État: Vide. Identifié par IA.
-20.969251667,-68.705016667,Cluster 1 (BLEU),28,1.9,2627.7,Trajet 28 | État: Vide. Identifié par IA.
-20.969323333,-68.704896667,Cluster 2 (VERT),29,7.8,2629.31,Trajet 29 | État: Chargé. Identifié par IA.
-20.97381,-68.695153333,Cluster 2 (VERT),29,11.7,2631.46,Trajet 29 | État: Chargé. Identifié par IA.
-20.959426667,-68.70847,Cluster 2 (VERT),29,1.7,2600.87,Trajet 29 | État: Chargé. Identifié par IA.
-20.959336667,-68.70857,Cluster 2 (VERT),30,9.3,2600.99,Trajet 30 | État: Vide. Identifié par IA.
-20.97512,-68.711011667,Cluster 2 (VERT),30,34.6,2608.65,Trajet 30 | État: Vide. Identifié par IA.
-20.970861667,-68.711308333,Cluster 2 (VERT),30,5.4,2630.17,Trajet 30 | État: Vide. Identifié par IA.
-20.97096,-68.711318333,Cluster 2 (VERT),31,10.6,2630.67,Trajet 31 | État: Chargé. Identifié par IA.
-20.968783333,-68.716325,Cluster 2 (VERT),31,11.7,2630.46,Trajet 31 | État: Chargé. Identifié par IA.
-20.977298333,-68.735246667,Cluster 2 (VERT),31,5.9,2605.17,Trajet 31 | État: Chargé. Identifié par IA.
-20.97735,-68.73534,Cluster 1 (BLEU),32,9.3,2603.92,Trajet 32 | État: Vide. Identifié par IA.
-20.972475,-68.686076667,Cluster 1 (BLEU),32,36.9,2605.26,Trajet 32 | État: Vide. Identifié par IA.
-20.978071667,-68.689708333,Cluster 1 (BLEU),32,3.7,2629.13,Trajet 32 | État: Vide. Identifié par IA.
-20.978145,-68.689713333,Cluster 1 (BLEU),33,8.3,2630.27,Trajet 33 | État: Chargé. Identifié par IA.
-20.958491667,-68.707013333,Cluster 1 (BLEU),33,0.0,2605.75,Trajet 33 | État: Chargé. Identifié par IA.
-20.976343333,-68.735361667,Cluster 1 (BLEU),33,0.0,2608.85,Trajet 33 | État: Chargé. Identifié par IA.
-20.976343333,-68.735361667,Cluster 2 (VERT),34,0.0,2607.07,Trajet 34 | État: Vide. Identifié par IA.
-20.97787,-68.72464,Cluster 2 (VERT),34,0.0,2598.92,Trajet 34 | État: Vide. Identifié par IA.
-20.982081667,-68.696565,Cluster 2 (VERT),34,6.5,2617.6,Trajet 34 | État: Vide. Identifié par IA.
-20.982095,-68.696443333,Cluster 1 (BLEU),35,10.9,2618.29,Trajet 35 | État: Chargé. Identifié par IA.
-20.980738333,-68.716813333,Cluster 1 (BLEU),35,47.8,2614.49,Trajet 35 | État: Chargé. Identifié par IA.
-20.982588333,-68.730593333,Cluster 1 (BLEU),35,2.5,2602.17,Trajet 35 | État: Chargé. Identifié par IA.
-20.982636667,-68.730635,Cluster 2 (VERT),36,12.6,2601.0,Trajet 36 | État: Vide. Identifié par IA.
-20.975395,-68.723383333,Cluster 2 (VERT),36,0.0,2598.16,Trajet 36 | État: Vide. Identifié par IA.
-20.97508,-68.723043333,Cluster 2 (VERT),36,5.9,2616.8,Trajet 36 | État: Vide. Identifié par IA.
-20.97513,-68.722945,Cluster 1 (BLEU),37,10.6,2617.27,Trajet 37 | État: Chargé. Identifié par IA.
-20.970773333,-68.730955,Cluster 1 (BLEU),37,32.2,2623.64,Trajet 37 | État: Chargé. Identifié par IA.
-20.971641667,-68.750796667,Cluster 1 (BLEU),37,2.5,2599.32,Trajet 37 | État: Chargé. Identifié par IA.
-20.971705,-68.750796667,Cluster 2 (VERT),38,7.6,2598.66,Trajet 38 | État: Vide. Identifié par IA.
-20.970436667,-68.724438333,Cluster 2 (VERT),38,6.3,2599.81,Trajet 38 | État: Vide. Identifié par IA.
-20.969195,-68.70025,Cluster 2 (VERT),38,13.2,2625.7,Trajet 38 | État: Vide. Identifié par IA.
-20.968368333,-68.701048333,Cluster 3 (ORANGE),39,12.6,2625.76,Trajet 39 | État: Chargé. Identifié par IA.
-20.964193333,-68.70166,Cluster 3 (ORANGE),39,14.4,2628.13,Trajet 39 | État: Chargé. Identifié par IA.
-20.959891667,-68.708351667,Cluster 3 (ORANGE),39,5.6,2602.32,Trajet 39 | État: Chargé. Identifié par IA.
-20.959996667,-68.708368333,Cluster 0 (ROUGE),40,8.7,2602.2,Trajet 40 | État: Vide. Identifié par IA.
-20.969963333,-68.72818,Cluster 0 (ROUGE),40,28.5,2604.06,Trajet 40 | État: Vide. Identifié par IA.
-20.969831667,-68.729846667,Cluster 0 (ROUGE),40,5.9,2629.29,Trajet 40 | État: Vide. Identifié par IA.
-20.969895,-68.729771667,Cluster 3 (ORANGE),41,8.5,2629.84,Trajet 41 | État: Chargé. Identifié par IA.
-20.972643333,-68.731965,Cluster 3 (ORANGE),41,12.2,2632.84,Trajet 41 | État: Chargé. Identifié par IA.
-20.97688,-68.735121667,Cluster 3 (ORANGE),41,3.7,2621.61,Trajet 41 | État: Chargé. Identifié par IA.
-20.976868333,-68.735108333,Cluster 0 (ROUGE),42,0.7,2618.97,Trajet 42 | État: Vide. Identifié par IA.
-20.970283333,-68.72964,Cluster 0 (ROUGE),42,0.0,2602.31,Trajet 42 | État: Vide. Identifié par IA.
-20.96983,-68.72987,Cluster 0 (ROUGE),42,4.6,2625.55,Trajet 42 | État: Vide. Identifié par IA.
-20.96987,-68.729801667,Cluster 1 (BLEU),43,6.9,2625.55,Trajet 43 | État: Chargé. Identifié par IA.
-20.972686667,-68.730965,Cluster 1 (BLEU),43,21.9,2624.78,Trajet 43 | État: Chargé. Identifié par IA.
-20.975495,-68.735823333,Cluster 1 (BLEU),43,0.6,2603.66,Trajet 43 | État: Chargé. Identifié par IA.
-20.97552,-68.735858333,Cluster 0 (ROUGE),44,6.9,2603.41,Trajet 44 | État: Vide. Identifié par IA.
-20.984275,-68.70773,Cluster 0 (ROUGE),44,37.8,2601.31,Trajet 44 | État: Vide. Identifié par IA.
-20.98198,-68.696823333,Cluster 0 (ROUGE),44,6.5,2620.75,Trajet 44 | État: Vide. Identifié par IA.
-20.98196,-68.696716667,Cluster 0 (ROUGE),45,8.2,2621.69,Trajet 45 | État: Chargé. Identifié par IA.
-20.979745,-68.724883333,Cluster 0 (ROUGE),45,56.9,2617.69,Trajet 45 | État: Chargé. Identifié par IA.
-20.982711667,-68.730423333,Cluster 0 (ROUGE),45,1.0,2601.99,Trajet 45 | État: Chargé. Identifié par IA.
-20.982721667,-68.730446667,Cluster 0 (ROUGE),46,6.9,2602.22,Trajet 46 | État: Vide. Identifié par IA.
-20.984635,-68.702583333,Cluster 0 (ROUGE),46,0.0,2603.12,Trajet 46 | État: Vide. Identifié par IA.
-20.9839,-68.703106667,Cluster 0 (ROUGE),46,5.9,2625.52,Trajet 46 | État: Vide. Identifié par IA.
-20.983943333,-68.703036667,Cluster 3 (ORANGE),47,7.2,2626.9,Trajet 47 | État: Chargé. Identifié par IA.
-20.980038333,-68.718231667,Cluster 3 (ORANGE),47,34.3,2622.37,Trajet 47 | État: Chargé. Identifié par IA.
-20.982465,-68.730773333,Cluster 3 (ORANGE),47,0.0,2602.31,Trajet 47 | État: Chargé. Identifié par IA.
-20.982465,-68.730773333,Cluster 1 (BLEU),48,0.0,2600.52,Trajet 48 | État: Vide. Identifié par IA.
-20.975788333,-68.741048333,Cluster 1 (BLEU),48,0.0,2600.72,Trajet 48 | État: Vide. Identifié par IA.
-20.969293333,-68.704653333,Cluster 1 (BLEU),48,4.1,2627.2,Trajet 48 | État: Vide. Identifié par IA.
-20.969515,-68.704088333,Cluster 1 (BLEU),49,10.2,2628.39,Trajet 49 | État: Chargé. Identifié par IA.
-20.972556667,-68.695308333,Cluster 1 (BLEU),49,10.4,2625.21,Trajet 49 | État: Chargé. Identifié par IA.
-20.959398333,-68.708443333,Cluster 1 (BLEU),49,2.2,2597.12,Trajet 49 | État: Chargé. Identifié par IA.
-20.959311667,-68.708511667,Cluster 2 (VERT),50,7.6,2597.31,Trajet 50 | État: Vide. Identifié par IA.
-20.969085,-68.703183333,Cluster 2 (VERT),50,20.7,2599.61,Trajet 50 | État: Vide. Identifié par IA.
-20.969325,-68.704415,Cluster 2 (VERT),50,6.1,2622.23,Trajet 50 | État: Vide. Identifié par IA.
-20.969341667,-68.70433,Cluster 2 (VERT),51,7.8,2622.6,Trajet 51 | État: Chargé. Identifié par IA.
-20.966336667,-68.699185,Cluster 2 (VERT),51,19.4,2623.84,Trajet 51 | État: Chargé. Identifié par IA.
-20.95933,-68.708483333,Cluster 2 (VERT),51,5.7,2600.84,Trajet 51 | État: Chargé. Identifié par IA.
-20.959325,-68.708571667,Cluster 1 (BLEU),52,7.0,2600.66,Trajet 52 | État: Vide. Identifié par IA.
-20.966941667,-68.690686667,Cluster 1 (BLEU),52,26.9,2600.68,Trajet 52 | État: Vide. Identifié par IA.
-20.987531667,-68.698631667,Cluster 1 (BLEU),52,5.4,2615.25,Trajet 52 | État: Vide. Identifié par IA.
-20.9875,-68.698503333,Cluster 1 (BLEU),53,10.6,2615.36,Trajet 53 | État: Chargé. Identifié par IA.
-20.961861667,-68.693166667,Cluster 1 (BLEU),53,27.6,2621.03,Trajet 53 | État: Chargé. Identifié par IA.
-21.008623333,-68.70205,Cluster 1 (BLEU),53,1.8,2609.23,Trajet 53 | État: Chargé. Identifié par IA.
-21.00858,-68.702041667,Cluster 3 (ORANGE),54,8.3,2608.33,Trajet 54 | État: Vide. Identifié par IA.
-20.955905,-68.7088,Cluster 3 (ORANGE),54,0.0,2596.04,Trajet 54 | État: Vide. Identifié par IA.
-20.987571667,-68.698676667,Cluster 3 (ORANGE),54,3.0,2607.92,Trajet 54 | État: Vide. Identifié par IA.
-20.987543333,-68.698605,Cluster 1 (BLEU),55,8.5,2608.2,Trajet 55 | État: Chargé. Identifié par IA.
-20.99045,-68.69028,Cluster 1 (BLEU),55,17.8,2604.88,Trajet 55 | État: Chargé. Identifié par IA.
-21.008713333,-68.702016667,Cluster 1 (BLEU),55,5.6,2590.17,Trajet 55 | État: Chargé. Identifié par IA.
-21.008576667,-68.702001667,Cluster 1 (BLEU),56,14.1,2589.94,Trajet 56 | État: Vide. Identifié par IA.
-20.981588333,-68.690923333,Cluster 1 (BLEU),56,0.0,2591.73,Trajet 56 | État: Vide. Identifié par IA.
-20.978121667,-68.68957,Cluster 1 (BLEU),56,4.4,2612.77,Trajet 56 | État: Vide. Identifié par IA.
